title,salary,company,description,location,city,state
marketing data analyst ii,115871.09296740998,selectquote,strong analytical and detail-oriented aptitude; a high degree of accuracy is required. this is data driven role in which the analysis will drive company…,['remote'],remote,
entry level business analyst,70000.0,digitaltransglobal,"effective written and verbal communication skills, including effectively communicating with business users and software developers, team participation and…",['remote'],remote,
senior data analyst,115871.09296740998,unigroup,"implements data quality tests and continuously review, optimize, and refactor data models in order to expand our data environments with ready to analyze data.",['remote'],remote,
informational and statistical analyst,52592.5,michigan state university,expanding the flint registry’s ability to disseminate data and information by supporting data and informatics activities. creating reports and data summaries.,"['flint', ' mi']",flint, mi
portfolio data analyst,60000.0,tsi,conduct loan folder audits as assigned to ensure data integrity. review and submit data change requests at the property level internally and externally.,['remote'],remote,
data analyst,90906.4,"northern embedded solutions, llc",experience developing data parsers for table and relational data sets. the analyst will work with operations and other engineering personnel to identify what…,"['fairbanks', ' ak']",fairbanks, ak
data analyst (1315),115871.09296740998,eagleview,a *degree in a stem discipline* and *at least 3 years of relevant experience in data analytics and/or data science.*. expertise in ssis and ssrs.,['remote'],remote,
data analyst (initially remote),100000.0,it alliances inc,"demonstrate prior success in a role requiring a multi-disciplinary skillset, combining aspects of data/product analysis, project management, and data governance…","['charlotte', ' nc']",charlotte, nc
data analyst,59280.0,tresume,0-3 years of experience in a data support role. perform data cleanups and document processes. analyze internal and external data through quantitative research.,"['silver spring', ' md']",silver spring, md
sr. data analyst,110000.0,mainstay,"build dashboards and data visualizations to support internal & external business needs. write complex sql & mongodb queries to gather, clean and aggregate data…","['boston', ' ma']",boston, ma
data analyst ii - supply chain,69700.0,dish,validate large amounts of data to ensure data quality in a variety of different ways depending on the data and its consumer.,"['littleton', ' co']",littleton, co
business data analyst,115871.09296740998,dhl | supply chain,uses knowledge of business and data structure to discover and/or anticipate problems where data can be used to solve the problem.,"['livonia', ' mi']",livonia, mi
product data analyst,140000.5,yugabyte,"explain trends across data sources, potential opportunities for growth or improvement, and data caveats for descriptive, diagnostic, predictive (including…","['sunnyvale', ' ca']",sunnyvale, ca
healthcare data analyst,115871.09296740998,"second wave delivery systems, llc","as a data analyst you will be inspecting, cleansing, transforming, and modelling data with the goal of discovering useful information, informing conclusions,…",['remote'],remote,
criminal data entry analyst (remote),115871.09296740998,"infomart, inc.",a background in clerical/data entry and 10-key is preferred. attention to detail and analytical skills are a must. high school diploma or equivalent.,"['marietta', ' ga']",marietta, ga
business analyst.,86383.0,cyber resource,client: *vita (virginia information technologies agency)*. \*this request is for 2 contractor positions that will support business readiness*.,"['detroit', ' mi']",detroit, mi
business analyst with state exp,72078.5,albet technologies llc,"identify business trends utilizing real data, compile analysis reports that are delivered to developers and then follow-up on all results.",['remote'],remote,
hr data analyst,65000.0,"mks instruments, inc.","a minimum of a bachelor’s degree, ma/mba preferred, and 2-5 years of hr, data analyst, or related experience with demonstrated increased responsibility.",['remote'],remote,
