title,company,description,location,salary,is_remote
data science consultant ny,managementsolutions,"you will be working in key projects for leading organizations in data mining & knowledge discovery, predictive modeling, trend modeling, simulation models …","york, pa",,0
part time data science instructor,kaplan,has solid data science industry experience. preferably has teaching experience alongside data science. is a data scientist with outstanding knowledge of and…,remote,"$31,200 a year",1
deep learning engineer (contract),generally intelligent,"we have deterministic formatting, zero linter errors, wide type coverage with mypy, etc. some of us have been working remotely for decades now, and we…","san francisco, ca","$150,000 - $200,000 a year",0
statistician: land management,digitcompass,"a graduate level trained statistician that demonstrates applied experience with social science, socioeconomic, visitor use, data in federal land management.",maryland,,0
machine learning engineer (r and python),geninvo,"we are hiring for ai/ml professionals with 5+ years of experience in (python and r, model and training development life cycles).","bloomington, il",,0
"data scientist (diversity, equity & inclusion)",trusaic,"independently construct and perform data checks; ability to interpret data, translate, and present findings; troubleshoot and propose workarounds to development…","los angeles, ca",,0
"data scientist, risk and fraud",eventbrite,fluency with machine learning and data mining techniques and concepts. strong experience with data processing in python (>2 years).,"nashville, tn",,0
data scientist - nationwide opportunities,"amazon web services, inc.","4+ years of industry experience in predictive modeling, data science, and analysis. experience handling terabyte size datasets, diving into data to discover…","tallahassee, fl +45 locations","$114,700 a year",0
data analytics consultant - work from home,capgemini government solutions,translate policy and strategic initiatives into quantitative data analysis and investigative data research. proficiency in using data visualization tools (e.g.…,"washington, dc",,0
data analyst,circinus llc,"curate and collect the data from a variety of traditional and non-traditional sources: extract data from sources, transform and integrate data in line with…","korea, va +2 locations",,0
"data scientist, human resources",publicis groupe,utilize appropriate data science methodologies to interpret and summarize data. identify data patterns and trends. document all processes and research.,"new york, ny",,0
power bi developer,vizion360,"relational database skills, data modeling skills specific to data warehousing implementations. ability to train users on how to use power bi reports to analyze…","independence, oh",,0
data scientist ii,valassis,"you are excited about the complexity and challenges of creating intelligent, high performance systems while working with a highly experienced and driven data…","morrisville, nc",,0
data scientist,deloitte,"in this role, you will specialize in and provide expertise in data analytics, data science/engineering, and data management.","arlington, va +5 locations",,0
data analyst,idelic,ensure data accuracy and integrity while also integrating data from multiple data sources and functional areas to perform complex analyses and evaluation.,"pittsburgh, pa",,0
"data science manager, instagram graph",facebook,establish strong trusted relationships with the data science and product communities of instagram and facebook. 3+ years of experience with people management.,remote +3 locations,,1
data scientist - analytics,acorn analytics,"acorn provides valuable and actionable insights into organizations' raw data. comfortable in python, proficient with pandas, matplotlib, performing exploratory…",remote,,1
economist - machine learning engineer,instacart,expertise in causal inference with observational and experimental data. graduate-level research experience on data-intense problems or 2+ years of industry…,"san francisco, ca",,0
ml/ai software engineer i,nci information systems inc.,"overview: for more than 30 years, nci information systems has been a leading provider of digital transformation solutions and services to u.s. government…",remote,,1
mathematical statistician,us department of energy,"experience includes conducting energy studies and developing mathematical methods and techniques; developing mathematical/statistical techniques, approaches and…","anchorage, ak","$64,649 - $166,502 a year",0
recent graduate - economist/statistician (economics),us bureau of labor statistics,makes arrangements preparatory to obtaining voluntary data from enterprises for which the collection of data is expected to present relatively few complexities…,"boston, ma","$48,641 - $65,621 a year",0
"data analyst, product",fieldlevel,from the data we have. answer tough questions that come up by analyzing our data and provide insights gained from analyzing data. and by collecting new data.,california,,0
bi analyst,jellyvision,"2+ years in data analytics or business intelligence. in addition, you'll work closely with other data-centric teams (like data engineering, data science, and…",illinois,,0
business intelligence developer,cumberland farms,provide detailed source analysis and data mappings/transformations to enterprise developers to implement new data sources and integrations.,"westborough, ma","$75,000 - $100,000 a year",0
data scientist,coinbase,"identify data, metrics and analyses needs for business partners; initiate, develop and maintain data pipelines and data models that powers dashboards and data…",remote,,1
mathematical statistician ii,kards cyber solutions,assists evaluation efforts through the use of statistical software to analyze test data. evaluates data management and collection methodology with regard to…,"aberdeen, md",,0
data visualization specialist,crunch.io,"deep domain expertise of data science, statistical analysis, and data visualization. able to design/develop industry-leading data visualizations based on an…","san francisco bay area, ca",,0
"data scientist, mid",booz allen hamilton,"experience in an analytics field, including data analytics, data science, or statistics in a professional work or educational environment.","washington, dc +7 locations",,0
data scientist,council for affordable quality healthcare,assess the effectiveness and accuracy of new data sources and data gathering techniques. the successful candidate will have strong experience employing a…,"washington, dc",,0
data scientist,north carolina state university,must have demonstrated experience with: modern ai methods and developing ai systems using unstructured text analytics; use of ai and natural language processing…,"raleigh, nc","$82,600 a year",0
analyst |economic analysis and forecasting,office of management & budget,administer and process regular data updates such as the monthly seasonal adjusted nyc employment data. assist other omb groups and taskforces with economic data…,"manhattan, ny","$46,856 - $70,291 a year",0
"sr. analyst, portfolio data operations - hbo max",hbo max,"knowledge of market research, data science methodology and trends based work. ability, from a business and data perspective, to understand how first party data…","los angeles, ca",,0
data scientist,digitas,"a bachelor’s or master’s degree in a quantitative field such as statistics, mathematics, econometrics, operations research, data science, computer science,…","new york, ny",,0
senior data analyst - content analytics,hulu,"understanding of data warehousing concepts and design. build data visualizations and multi-faceted dashboards that convey key performance metrics, significant…","santa monica, ca",,0
business analyst/data analyst,cognizant technology solutions,business analyst/data analyst- full time *this role is not able to offer visa transfer or sponsorship now or in the future*.,"fort mill, sc",,0
data engineer i,mediquant llc,"database management, data analysis, data science experience. strong data analysis skills (debugging data anomalies). flsa status: full-time, exempt.","atlanta, ga +2 locations",,0
apache superset developer,kanini software solutions,"experience with data science and machine learning analyses is a plus. experience working with big data technologies is a plus (hadoop, spark).",remote,$55 - $65 an hour,1
"svp, business intelligence",warner music group,interface with the data and data science organizations to help scale products or research on an as-needed basis. produce ad-hoc reports on an as-needed basis.,"new york, ny",,0
data scientist - operational analytics,thirty madison,"this person will touch all aspects of the data life cycle, including data modeling, analysis, business intelligence, and more, in order to provide impactful,…","new york, ny",,0
staff data scientist - product and operations,legalzoom,"identify, role model, and evangelize data science best practices so that others become better practitioners as well.",remote,,1
marketing associate (entry),bev,have a strong foundational understanding of data analysis and be able to draw insights from our robust data tools.,"los angeles, ca",,0
data scientist or bioinformatician,ut southwestern medical center,"for data scientists, the projects include assembling and statistical analyses of big clinical data, and application of machine learning and deep learning…","dallas, tx","$60,000 - $90,000 a year",0
co-op - data science (fall 2021 semester),emerson,"develop and implement data processing, including data curation and normalization. based in our elyria, oh location, you will directly support two major projects…","elyria, oh",,0
business/data analyst,affinity solutions,"develop strategy and provide analytical/statistical support for external data source evaluation, for modeling products and the third-party data qa.","new york, ny",,0
data scientist sr,pnc financial services group,"directs the data gathering, data processing and data mining of large and complex datasets. participates in the data gathering, data processing and data mining…","pittsburgh, pa","$65,000 - $187,450 a year",0
junior data scientist,expression networks,bachelor's degree in computer science or related stem discipline. expression networks is looking for a full-time junior data scientist to join our development…,"washington, dc",,0
data analyst,freedomcare,"3+ years of relevant experience in data analytics, business intelligence, data science or a related field. acquire data from primary and secondary data sources.","new york, ny",,0
"data engineer, data science & analytics",people*strata,perform data analyses over large sets of data. experience building and optimizing ‘big data’ data pipelines to process and perform etl over large data sets.,"new york, ny",,0
data science & analytics,digital trike,"as much as you’re a master at rigorous mining, culling and interpretation of big data, you’re equally at task to glean small but meaningful data insights and…","south jordan, ut",,0
privacy research engineer,cape inc,"ms or higher in machine learning, data science, privacy or cryptography. this product sits at the intersection of data science, machine learning, privacy, and…","new york, ny",,0
"artificial intelligence (ai) developer(voicebot, chatbot, machine learning)","eworld enterprise solutions, inc.","client side, server side and data store experience. experience in building chatbots or voicebots with dialogflow or amazon lex. ability to write unit tests.","honolulu, hi",$60 - $65 an hour,0
data scientist,sensemetrics,"reporting to the chief technology officer, it is the responsibility of the data scientist to define and drive the direction of the company's artificial…","san diego, ca",,0
junior artificial intelligence/machine learning research engineer,"applied research associates, inc","masters in computer science or a related field. a bachelor's in computer science, engineering, physics or a related field along with hands-on knowledge of the…","raleigh, nc",,0
data scientist (analyst),edge & node,work with data engineers to define requirements for etl and data pipelines to produce and automate new data sets to support your analysis.,remote,,1
geospatial data manager,prince william county service authority,strong technical skills related to the management of gis data. responsible for management of geospatial data related projects including gathering of…,"woodbridge, va","$95,336 - $128,018 a year",0
"hybrid data scientist, advanced ops problems",dandy,"we are constantly adding new product offerings or taking over more pieces of our (very complex) supply chain, and we suspect that there will be plenty of very…","new york, ny",,0
data scientist,george fox university - staff and administrator,"demonstrated technical skills including sql, python and data science libraries evidenced by experience working with complex data sets and managing data…","newberg, or",,0
data scientist,best egg,freestyle thinker; identify new areas that could benefit from data science. at least one year of data science experience or work program equivalents in a…,"wilmington, de",,0
data scientist,gifthealth,"consistently introduce strong, data-driven business and technical judgment to the decision process. begin as an individual contributor and establish data…","columbus, oh",,0
data analytics instructor,galvanize inc,"industry experience in a data analyst role. have opportunities to work with and learn from other data analysts, data scientists, and software engineers in a…",remote,"$85,000 - $100,000 a year",1
data science consultant usa ny,managementsolutions,"you will be working in key projects for leading organizations in data mining & knowledge discovery, predictive modeling, trend modeling, simulation models …","york, pa",,0
data engineer,"truweather solutions, inc.","stay on top of technological advances and data science trends. ms degree in software engineering, data science, or statistical engineering.",remote,,1
data scientist,jacobs engineering group - resume,"experience with data manipulation within a large volume of data. data science: 3 years (required). knowledge of statistics, analytics, and data mining.","hanover, md",$28 - $48 an hour,0
solar energy engineer,arcvera renewables,"knowledge of data science concepts such as machine learning. master’s degree in a physical science, engineering, data science or statistics from an accredited…",remote,"$45,592 - $76,000 a year",1
business intelligence analyst,blockfi,review data for discrepancies among systems to ensure back-end data matches client-facing data. create and maintain documentation on key internal data processes…,new york state,,0
data scientist associate,novant health,experience with extracting and manipulating data in relational databases; expert knowledge of sql. the associate must be proficient in employing large scale…,"winston-salem, nc",,0
machine learning engineer,digital dhara,should be able to manage the team to deliver the each release on time with sprint deadlines. hands on advance level python coding.,remote,$60 - $68 an hour,1
sr data processing production tech/manager (non-profit industry ),saturn corporation,"welcome to the new age of *_translytical_* data. forrester research, a leading technology market research company based in cambridge, ma, defines a translytical…",remote,,1
junior data scientist,deloitte,"in this role, you will specialize in and provide expertise in data analytics, data science/engineering, and data management.","washington, dc",,0
product and bi analyst,earnest,create data pipelines and etls using sql into earnest's single source of truth data warehouse. query and analyze large datasets to run data quality and…,california,,0
data analytics engineer,"honda r&d americas, inc.",experience with common data science toolkits such as r & python. ensure data integrity through testing of results. proficient using query languages such as sql.,"raymond, oh",,0
applied scientist - sustainability,descartes labs,"an advanced degree in a relevant scientific or quantitative field such as meteorology, climate science, environmental science or closely-related field preferred…",remote,,1
head of data science,lendingpoint consolidated inc,"knowledge of advanced statistical modeling, testing, data mining, etl, and data science techniques. leverage multiple complex data sources such as credit bureau…",remote,,1
assurance data analyst,penn mutual life insurance,analyzes business data and works with other team members to assist in planning future audits by gathering data and performing analytics.,"horsham, pa",,0
senior data analyst,housecall pro,you will foster a culture of data-driveness through experimentation and data governance. you will work along the entire analytics value chain; starting with raw…,"san diego, ca +1 location",,0
"data scientist, messaging",spotify,perform analysis on large sets of data to extract impactful insights that will help drive product decisions. possess statistical competence (such as regression…,"new york, ny",,0
executive director - distribution & geospatial data science,"jpmorgan chase bank, n.a.","3+ years of experience managing analysis / data science teams. maintains industry leading knowledge of data science theory and techniques, particularly as…","columbus, oh",,0
research analysis specialist/ data specialist ghg,state of minnesota,the incumbent will support the greenhouse gas (ghg) initiatives within the agency by managing input data for emission estimation from multiple and disparate…,minnesota,$24.03 - $35.24 an hour,0
data science associate,"jpmorgan chase bank, n.a.","experience with statistical techniques - i.e. data mining, data transformations, text mining, data visualization. 1-3 years of experience as a data scientist.","jersey city, nj",,0
machine learning engineer,liberty lending,members of our data science team need the strong creative problem-solving skills and technical background required to solve the wide array of emerging…,"new york, ny",,0
sr. data scientist,brilliant infotech,"solid experience performing data science from data discovery, cleaning, model selection, validation, and deployment; experience coding artificial intelligence…",remote,,1
program manager – cargo data science,delta,"the analytics leader has deep technical knowledge of operations research optimization models, simulation models, and core data science/data engineering skillset…","atlanta, ga",,0
data miner / data modeler,ce science,all candidates must be us citizens and possess or be able to obtain a top secret security clearance.,"columbia, md",,0
senior data engineer,cisco systems,"you will work on data migrations and transformational projects, to design large-scale data processing systems, develop data pipelines optimized for scaling, and…","durham, nc",,0
"senior risk data analyst, trust and safety",google,"improve tools through data analysis, technical expertise, and presentations to key stakeholders. perform data analyses to derive insights that help to identify…","new york, ny",,0
marketing analytics coordinator,blue moon digital,create data visualizations via dashboarding and other custom reports. this role supports others on the team while learning to assess online data collection…,"denver, co","$50,000 - $55,000 a year",0
data scientist,optimo information technology,determine optimal data sets and variables. experience visualizing/presenting data for stakeholders. 5+ years experience handling data for machine learning.,"washington, dc",,0
finance analyst - entry level,ford motor company,"develop business cases and data analysis for key projects. proficiency with excel, and other financial systems, and data analytics tools.","dearborn, mi",,0
bioinformatics data scientist,infipact,"data structures and common methods in data transformation. strong understanding of qpcr and amplification curve data. job types: full-time, contract.",remote,"$78,598 - $110,000 a year",1
data architect,mattel,develop & curate data models for analytics and ensure the data pipelines are based on the data architecture. ensure governance of data products is following the…,"el segundo, ca",,0
machine learning researcher,susquehanna international group,experience working and analyzing time series and reference data. use your software development and machine learning skills to find signal in one of the highest…,"bala-cynwyd, pa",,0
data analytics engineer (remote),traderev,supporting our data science teams with deploying data models. support data discovery and data governance by maintaining data dictionaries and data lineage.,"indianapolis, in +1 location",,0
data scientist,cerebral,transform real-world data into actionable insights using robust statistical methods and compelling data visualizations in formats accessible to a wide range of…,texas,,0
"data analyst, internal audit",google,expertise in decision science and creating engaging data visualizations that drive decision-making. influence teams towards data-informed decision-making and…,"chicago, il",,0
"manager, advanced analytics",adt security services,"finance and data science: 3 years (required). additionally, cloud-platform data mining skills are a plus. key functions of the manager’s role are to leverage…","boca raton, fl",,0
telematics data analyst sr. consultant i,allstate,works with data stewards in the testing/profiling of data and validation of newly captured data to ensure proper operation and accuracy.,"northbrook, il","$59,500 - $92,500 a year",0
jr growth marketing analyst,ft optimize,a love of data and the ability to take data and turn it into an insightful story and decisions. 10% - develop and employ successful data driven strategies to…,remote,"$55,000 - $65,000 a year",1
fixed income quantitative analyst,yieldx,"an undergraduate degree in computer science, mathematics, statistics, data science, or a similar quantitative field of study required.","new york, ny",,0
data scientist,vertmarkets,"familiarity with graphical presentations of data. love analyzing big, messy data to uncover key insights. analyze data on an account-based level and identify…","cranberry township, pa",,0
paid media specialist - ho154,landmark recovery,"bachelor’s degree in marketing, business, economics, data science or related field. the most successful candidates will have some capacity with being…","franklin, tn","$65,000 - $80,000 a year",0
sr. data analyst,"chairish, inc.","familiarity with data engineering, data design and etl. partner closely with business stakeholders and other data teams to improve platform capabilities around…","san francisco, ca",,0
systems analyst i,city of virginia beach,"as we lead the city’s digital transformation, it seeks candidates with backgrounds in information technology, data science, business, design thinking, art and…","virginia beach, va",,0
"associate director, data science",humana,"working knowledge and experience in data science packages such as python or r. experience in developing, maintaining, and collecting structured and unstructured…","louisville, ky",,0
statistician,"us veterans affairs, inspector general","apply standard statistical and/or data management software package(s) to execute data processing, data modeling, and technically complicated data analysis with…","salt lake city, ut","$92,143 - $172,500 a year",0
support engineer – azure rapid response data & ai,microsoft,"microsoft is on a mission to empower every person and every organization on the planet to achieve more. our culture is centered on embracing a growth mindset, a…","charlotte, nc",,0
head of data science,enigma,"at enigma, data science is the core of our actual product! enigma's product is data, and thus data science is the beating heart of enigma's product.",new york state,,0
data analyst,the voleon group,an interest in programming and data analysis / data science. help drive continuous improvements to data quality procedures and a consistent approach to how data…,"berkeley, ca",,0
head of marketing data science,noom us,"bonus points if you have a proven track record of growing data-science teams through great hires, as well as fostering the creation of a harmonious culture.","new york, ny",,0
reservoir engineer,crowheart energy,demonstrated experience in using data science tools to analyze existing horizontal development to make recommendations for increased productivity.,"denver, co","$140,000 - $170,000 a year",0
"wargaming analyst, junior",booz allen hamilton,"experience with data science, operations research, or modeling and simulation tools and methods. prepare and conduct elementary analytic work on the collection…","arlington, va",,0
data scientist/machine learning engineer- remote opportunity,cardinal intellectual property,research and implement new image search models and improvements to existing ones using big data to solve real-world problems. experience with docker is a plus.,"evanston, il",,0
data scientist - certification,"the air-conditioning, heating, and refrigeration institute (ahri)","with a focus on in-depth data analysis, data manipulation (etl), modeling, and testing by using open-source tools/packages.","arlington, va","$100,000 - $117,500 a year",0
junior data scientist,invent analytics,"engineers and data scientists to develop advanced forecasting and optimization solutions. performing assigned tasks as part of the project team, working…","philadelphia, pa",,0
data scientist,"cgfns international, inc.","this new role will be responsible for identifying relevant data sources, tools (ml/ai/predictive analytics) and infrastructure to enable data science activities…","philadelphia, pa",,0
agriculturist or mathematical statistician,us animal and plant health inspection service,"experience with biological and entomological data and analysis. experience using software tools and languages (for example sas, r, python, slq, or java) to…","riverdale, md","$80,522 - $113,362 a year",0
machine learning engineer,gridiron it,must hold us citizenship and the ability to work onsite. ability to develop and deliver scalable machine learning solutions that address challenging new…,"odenton, md",,0
data scientist,avalonbay communities,"experience with data visualization tools. experience merging and analyzing large, diverse data sources. provide data driven insights to senior management that…","arlington, va",,0
business intelligence (bi) engineer - entry level,heliocampus,"as a bi engineer you will be responsible for designing, building and testing our reporting platform with a focus on data modeling and manipulation to create…","chapel hill, nc",,0
head of data,equinox media,"oversee the organizational structure for engineering teams across data engineering, machine learning & data science.","new york, ny",,0
data engineer & analytics,focuskpi inc.,"substantial experience with testing, data validation, and data quality assurance. champion data quality and governance by maintaining and extending a clean data…","palo alto, ca",,0
senior / staff data analyst,platform science,"apply your expertise in quantitative analysis, data visualization and data-mining to create data alerts and derive actionable insights.",california,,0
statistician/data analyst,"high performance technologies, inc. (hptech)","bachelor’s degree in mathematics, statistics, economics, computer science, data science or information management.","mclean, va",,0
data engineer,badvr,"plan data pipelines for live streams and data warehouses. you will work closely with data architects, other data engineers, data scientists, and business…",remote,"$60,000 - $70,000 a year",1
data science consultant,digital dhara,"working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment.","santa clara, ca",$50 - $55 an hour,0
"search quality analyst, engineering",google,"experience in data analysis, or working as a data scientist, abuse analyst or law enforcement investigator. you will solve problems across data sets, bringing…","mountain view, ca",,0
biomedical data scientist,university of kentucky,the department of biostatistics seeks a biomedical data scientist with expertise in biostatistical consulting and analysis of biomedical data including clinical…,"lexington, ky","$54,142 - $89,315 a year",0
"data science manager, small business group",facebook,"the successful candidate will manage a group of data scientists focusing on driving data-informed strategies to deliver value for our clients at scale, creating…","austin, tx +3 locations",,0
"product analytics lead, data science",google,"you weave stories with meaningful insight from data. experience with articulating product questions, pulling data from datasets (sql) and using statistics to…","new york, ny",,0
power bi developer,integress inc.,"demonstrated understanding of typical data science techniques such as classification, regression, and optimization to solve business problems.",remote,,1
"insights manager, data & insights tribe",spotify,you have significant experience with people management and leading insights or data science teams. you have recent experience working hands-on in a data science…,"new york, ny",,0
market data analyst,lendingpoint consolidated inc,"knowledge of advanced statistical modeling, testing, data mining, etl, and data science techniques. assess the effectiveness and accuracy of new data sources…","kennesaw, ga",,0
data engineer,digital dhara,"understanding on databases, data warehouses, data lakes. design, build and maintain data processing pipelines. good communication and cross functional skills.","santa clara, ca",$50 - $55 an hour,0
business intelligence and anlytics analyst,a. o. smith corporation,"promote data literacy and a data driven decision culture. must know when and where to use appropriate data; recognize when data is misleading, misrepresented or…","nashville, tn","$82,000 - $112,000 a year",0
associate data analyst,gubagoo inc.,at least one year of experience in data analytics / data science. utilize data to illustrate business trends and identify areas of opportunity.,"boca raton, fl",,0
intelligence-targeting analyst,the west river group,"analyze data to identify and interpret patterns and trends, assess data quality and eliminate irrelevant data; present findings in reports and presentations in…","chantilly, va",$56.48 an hour,0
data research analyst,centra technology,demonstrated ability to extract data contained in large databases and analyze that data to derive meaningful information.,"bethesda, md",,0
it data analyst local candidates only,educational federal credit union,"knowledgeable with data analytics, data science, and statistical reporting concepts and best practices. the ability to extract, transform, and load (etl) data…","miami, fl",,0
senior data scientist,trustpage,data mining unstructured data sources. gathering and extracting data from third party sources. enhancing data collection procedures to include information that…,"detroit, mi","$90,000 - $125,000 a year",0
data analyst,luxoft,contribute to data models and designs for the data warehouse. our data strategy and operations team is focused on implementing and evolving client's investment…,"los angeles, ca",,0
junior data scientist,btas,"apply data to develop and provide analytical support to all levels of management. create, develop, and/or apply existing tools and techniques to conduct data…","hampton, va",,0
business intelligence developer,agile sourcing partners,"identify data requirements, data sources and standardize data across the organization. demonstrates ability to review data, draw conclusions and recommend…","orlando, fl","$70,000 - $100,000 a year",0
data platform engineer,healthverity,standardizing on common data models across data types. innovating our proprietary de-identification and data science algorithms.,remote,,1
data scientist,sms group inc,"1-2 years of experience in applied artificial intelligence technologies including machine learning, predictive data analytics, and/or data science.","pittsburgh, pa",,0
developer,statapile,"a bachelor-level degree or higher in engineering, computer science, data communications, or it is required. minimum 2 years of python experience.",remote,,1
software engineer - machine learning,torc robotics,experience with geospatial data or multidimensional data is a plus. independently build and develop machine learning models & systems to enhance map creation…,"blacksburg, va",,0
operations research analyst,"us air force elements, u.s. transportation command","determining sources of data, plans, and using advanced predictive analysis, data visualization, modeling, machine learning, and data science methods to validate…","scott afb, il","$93,494 - $121,543 a year",0
jr. research engineer/data scientist,technica corporation,research and analyze cutting edge algorithms and technologies with a focus on natural language processing and data visualization techniques.,"sterling, va +1 location",,0
senior machine learning engineer,compose ai,we’re disrupting the way people type by leveraging artificial intelligence. design and implement solutions to difficult technical challenges including:,united states +1 location,,0
machine learning engineer - payment protection,sift,"use data science techniques to analyze fraudulent behavior patterns. practical understanding of machine learning and data science concepts, and a track record…",new york state +2 locations,,0
data scientist,fanduel,"a minimum of 1 year of industry experience in data science, analytics or engineering preferred. bachelor's degree in a highly numerate major (math, stats, econ,…","new york, ny",,0
data analyst,hendall inc.,"bachelor’s degree in math, statistics, data science, computer science, or related fields. conduct routine ad hoc data runs and prepare write-ups in response to…","rockville, md",,0
machine learning engineer,"src, inc.","perform data collection and run simulations to create, curate, and label machine learning data sets. apply machine learning models, tools, and techniques to…","chantilly, va +2 locations",,0
computer vision and machine learning research scientist,synthetik applied technologies,"experience with state of the art deep learning techniques for various computer vision tasks including real-time object detection, segmentation, tracking,…",remote,"$75,000 - $105,000 a year",1
clinical data management co-op (july – dec),bristol myers squibb,aspiring to completion of bachelor’s degree in life sciences/healthcare/data science/project management. read and understand the clinical trial protocol to…,"new brunswick, nj +1 location",,0
data scientist,redsail technologies,familiarity with data management tools. building tools to automate data collection. correlating similar data to find actionable results.,"spartanburg, sc",,0
research statistician i (water quality),state of maryland,qaqc of reported water quality data. interpretation and formal presentation or data; creation of schemas for water quality data reporting;,"baltimore, md","$39,768 - $51,195 a year",0
data engineer & analyst,fico,"this role is part data engineer, part data analyst, part data architect, developing domain expertise in fico’s business to help drive data driven decisions.","austin, tx",,0
data insights scientist,verana health,these partnerships enable verana to harness the comprehensive data found in qualified clinical data registries and other specialty data sources to accelerate…,"san francisco, ca",,0
software engineer - machine learning,"raise marketplace, llc",our software engineer - machine learning is expected to design and code solutions which translate the needs of machine learning/data science teams into…,illinois,,0
"data analyst, risk operations",facebook,"experience manipulating large data sets in sql or equivalent, and drawing actionable insights from data. oversee data and metric governance for fraud, system,…","austin, tx",,0
data scientist,mgic,experience working with and creating data architectures. participate in the planning of complex data and analytics strategy. completion of master’s degree.,remote,,1
machine learning data associate,amazon.com services llc,"this role focuses on language data, primarily in the areas of writing and general data analysis deliverables. writing high-quality and engaging copy.","santa barbara, ca",,0
gpu advocate nala,nvidia,high performance computing (hpc) and artificial intelligence (ai) are key markets for nvidia. researchers and scientists are actively embracing gpu programming…,pennsylvania,,0
data scientist,analatom inc.,"demonstrate data science capabilities through understanding and application of the math, statistics and machine learning to build software prototypes based on…","santa clara, ca","$97,396 - $219,957 a year",0
junior data scientist - secret clearance required,logistics management institute,"data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics. 0–4 years of experience in the field.","tysons, va",,0
lead big data developer with (pyspark/python) exp,golden technology inc,"knowledge in three of the following technical disciplines: data warehousing, big data management, analytics development, data science, application programming…","blue ash, oh",$65 - $85 an hour,0
data engineer,branch,create and maintain services for data science products (includes real time data application as well as ml pipeline). fluent in sql and python.,minnesota,,0
"analyst, consumer analytics",major league baseball,proficiency in quantitative data collection and data analysis using sql is required. experience with data science and statistical concepts such as regression…,"new york, ny",,0
hpc and data analytics student researcher assistant- icl- fall 2021,georgia tech research institute,the advanced computing and artificial intelligence division at gtri's information and communications lab (icl) currently seek students to start fall 2021 who…,"atlanta, ga",,0
marketing data analyst,aaa ohio auto club,"bachelors’ degree in marketing, statistics, data science or business administration. 3+ years’ in marketing and data analytics. power bi: 2 years (preferred).","worthington, oh +1 location","$60,000 - $65,000 a year",0
data scientist,eleven fifty academy,building tools to automate data collection. present information using data visualization techniques. correlating similar data to find actionable results.,"indianapolis, in",,0
watson health -ai development lead,ibm,"ibm provides you with the most comprehensive and consistent approach to development, security and operations across hybrid environments—with complete software…","tampa, fl +27 locations","$105,000 - $162,000 a year",0
ph.d. position: data science and modeling in water,university of pittsburgh,"we have a fully funded phd opportunity in the dept. of civil and environmental engineering at the university of pittsburgh, pittsburgh, pa usa. please see the…","pittsburgh, pa",,0
change management analyst - baa,"world wide technology, inc.",we help them make data analysis a key part to the way their business is run by using sophisticated technology approaches to how they generate data.,remote,,1
data scientist (clearance required),gridiron it,"4+ relevant experience within data science or analysis. perform data studies and data discovery routines for video, voice, weblog, sensor, machine and social…","oakton, va",,0
data analyst,"valent biosciences, llc","a graduate degree in statistics, data science, mathematics, engineering, business or related discipline is preferred. data visualization: 3 years (preferred).","libertyville, il",,0
postdoc and research associate in deep learning for medical imaging,duke university,we are hiring candidates after their phd degree and after an ms/ma degree. machine learning: 1 year (required). temporarily due to covid-19.,"durham, nc","$35,000 - $70,000 a year",0
data automation analyst,corvid technologies llc,"minimum of 2 years working experience in technical data analysis, data science, or data warehousing with proven business analysis experience.","mooresville, nc",,0
research associate - wfd,optimal solutions group,"strong data management skills, including data manipulations, linking across datasets in different units of analysis, techniques to resolve outlier problems.","college park, md",,0
data analyst,mid-atlantic permanente medical group pc,"prior healthcare data analysis experience is preferred. the data analyst position assists mapmg in making strategic data-related decisions by analyzing,…","rockville, md",,0
data engineer,rothman institute,"the data engineer will work collaboratively with the data science team to develop large-scale pipelines to organize, collect and standardize data that helps…","philadelphia, pa",,0
cdao - data analytics professionals,general motors,data engineers build industrialized data assets and optimize data pipelines in support of business intelligence and advance analytic objectives.,"warren, mi +1 location",,0
senior data analyst - telecommute,u.s. bank,"hands on experience working with large data sets, including statistical analysis, data cleansing/transformation, data visualization and data mining.","palo alto, ca","$103,615 - $121,900 a year",0
data scientist,general dynamics information technology,"must be able to both manage and manipulate large data sets, develop data science approaches, and manage data science tasks.","tampa, fl +2 locations",,0
data scientist,atlantisitgroup,"2+ years of hands on experience with data warehouse, bi reporting testing experience using tools like power bi, snowflake, netezza, microstrategy.","houston, tx","$72,849 - $186,434 a year",0
help desk analyst,creative systems and consulting,"creative is seeking a helpdesk analyst that can be the front line for communication with customers via email, phone and our ticketing system regarding issues,…",remote,,1
reporting & data analyst,bugcrowd,knowledge and experience applying common data science methods. develop data roadmap based on current state survey of current data sets.,utah,,0
statistician i,american national family of companies,maintains and improves data quality by carrying out quality control procedures to ensure complete and accurate data. strong aptitude on detail and accuracy.,"glenmont, ny",,0
human resources analyst,central intelligence agency,"working with large data sets and analyzing data from various sources. human resources processes and data. interpreting, presenting and explaining data.","washington, dc","$70,150 - $127,885 a year",0
connect representative,wellflorida council, ability to input data and information into a data system.  accurate data entry of participant information into the well family data system.,"gainesville, fl","$30,000 - $35,000 a year",0
data scientist,oscar health,you use data science tools like sql and python. you will report into a data science leader (senior data scientist or above). we need your help to do so.,"new york, ny",,0
machine learning engineer,mapped,mapped is an ai-powered data infrastructure platform for commercial and industrial iot. build machine learning models to extract semantics from data and infer…,"seattle, wa",,0
